dag_id,task_id,task_type,dag_submit_ms,task_ready_ms,scheduled_ms,start_ms,finish_ms,tier,datacenter_id,vm_id,duration_ms,length_mi,proj_edge_sec,proj_cloud_sec,input_bytes,output_bytes,gpu_mem_mb,gpu_util,queue_wait_ms,net_propagation_ms,net_tx_ms,net_total_ms
dag_fe4dbcf33614434b,base_model_load_e5393ce1,base_model_load,3029021,3029021.00,343380403.42,343380404.84,351281910.46,1,8,4,19753.75,7901500,7901.500,19.754,4734612842,473461284,9030.56,0.62,1.43,-1,-1,0.00
dag_23c98ee667574798,lora_load_453972b8,lora_load,3029242,3029242.00,351281910.46,351281911.88,353179906.50,1,11,10,4744.97,1897989,1897.989,4.745,514553933,51455393,981.43,0.51,1.42,-1,-1,0.00
dag_f3c4c3e2b3b0431a,vae_encode_aca973f3,vae_encode,3052679,3052679.00,353179906.50,353179907.92,353368375.54,1,11,10,471.16,188462,188.462,0.471,1135206008,113520600,2165.23,0.90,1.43,-1,-1,0.00
dag_6a2cf2c8ab1c4d3d,vae_encode_17b80ea2,vae_encode,3056825,3056825.00,353368375.54,353368376.96,353576619.57,1,8,4,520.59,208237,208.237,0.521,732597743,73259774,1397.32,0.61,1.42,-1,-1,0.00
dag_36a2e981e1e34b0c,vae_encode_7bdac365,vae_encode,3059036,3059036.00,353576619.57,353576620.99,353790322.60,1,12,12,534.24,213696,213.696,0.534,1471400362,147140036,2806.47,0.51,1.42,-1,-1,0.00
dag_d171371e20e64fc3,base_model_load_5d5a786e,base_model_load,3066859,3066859.00,353790322.60,353790324.02,355223615.64,1,9,6,3583.22,1433286,1433.286,3.583,4904968370,490496837,9355.48,0.58,1.43,-1,-1,0.00
dag_ce37036d979b4572,lora_load_d46d650a,lora_load,3067754,3067754.00,355223615.64,355223617.06,356917001.68,1,12,12,4233.45,1693379,1693.379,4.233,761429964,76142996,1452.31,0.72,1.42,-1,-1,0.00
dag_6d608e06daa745d4,lora_load_01256ac8,lora_load,3075839,3075839.00,356917001.68,356917003.10,359601824.71,1,10,8,6712.04,2684816,2684.816,6.712,1104703757,110470375,2107.06,0.93,1.42,-1,-1,0.00
dag_f37918b1cd9a47be,vae_encode_5970612c,vae_encode,3076141,3076141.00,359601824.71,359601826.14,359741181.76,1,10,8,348.38,139350,139.350,0.348,964450136,96445013,1839.54,0.78,1.43,-1,-1,0.00
dag_bce9afed96b54197,vae_encode_3762f4bb,vae_encode,3076562,3076562.00,359741181.76,359741252.04,359741939.92,2,1000,16,613.42,245367,245.367,0.613,796135628,79613562,1518.51,0.42,70.28,-1,-1,0.00
dag_7c56b7401aaa4e86,vae_encode_0af80f72,vae_encode,3086510,3086510.00,359741939.92,359741941.35,359923286.97,1,10,8,453.35,181340,181.340,0.453,876441520,87644152,1671.68,0.54,1.43,-1,-1,0.00
dag_f64b04750d5d483f,vae_encode_9e383a5e,vae_encode,3093070,3093070.00,359923286.97,359923288.39,360126804.00,1,13,14,508.78,203510,203.510,0.509,762926704,76292670,1455.17,0.80,1.42,-1,-1,0.00
